"","ParticipantNumber","GroupOrder","Age","AcadLev","EconInd","qia1","qia2","qia3","qia4","qia5","qia6","qia7","qia8","qia9","qia10","qia11","qaa1","qaa2","qaa3","qaa4","qaa5","qaa6","qaa7","qaa8","qaa9","qaa10","qaa11","qaa12","qaa13","qaa14","qim1","qim2","qim3","qim4","qim5","qim6","qim7","qim8","qim9","qim10","qim11","qim12","qim13","qim14","CorsiFwd","CorsiRev","StroopRTcQ1Cong","StroopRTcQ3Cong","StroopRTcQ5Cong","StroopRTcQ7Cong","StroopRTcQ9Cong","StroopRTeQ1Cong","StroopRTeQ3Cong","StroopRTeQ5Cong","StroopRTeQ7Cong","StroopRTeQ9Cong","StroopRTcQ1Inc","StroopRTcQ3Inc","StroopRTcQ5Inc","StroopRTcQ7Inc","StroopRTcQ9Inc","StroopRTeQ1Inc","StroopRTeQ3Inc","StroopRTeQ5Inc","StroopRTeQ7Inc","StroopRTeQ9Inc","StroopAccCong","StroopAccInc","PosnerRTcQ1Val","PosnerRTcQ3Val","PosnerRTcQ5Val","PosnerRTcQ7Val","PosnerRTcQ9Val","PosnerRTeQ1Val","PosnerRTeQ3Val","PosnerRTeQ5Val","PosnerRTeQ7Val","PosnerRTeQ9Val","PosnerRTcQ1Inv","PosnerRTcQ3Inv","PosnerRTcQ5Inv","PosnerRTcQ7Inv","PosnerRTcQ9Inv","PosnerRTeQ1Inv","PosnerRTeQ3Inv","PosnerRTeQ5Inv","PosnerRTeQ7Inv","PosnerRTeQ9Inv","PosnerRTcQ1Ntr","PosnerRTcQ3Ntr","PosnerRTcQ5Ntr","PosnerRTcQ7Ntr","PosnerRTcQ9Ntr","PosnerRTeQ1Ntr","PosnerRTeQ3Ntr","PosnerRTeQ5Ntr","PosnerRTeQ7Ntr","PosnerRTeQ9Ntr","PosnerAccVal","PosnerAccInv","PosnerAccNtr"
"1",1,0,"18","Postg","3","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","1","3","1","5","3","1",7,6,567.7,653.2,701.3,867,1187.4,713.66,933.98,1154.3,1374.62,1594.94,625.1,734.84,786.1,897.06,1084.16,636.45,701.65,894.15,1136.25,1345.55,0.916666666666667,0.916666666666667,351.199999999972,433.840000001464,518.699999999285,668.899999999758,859.259999999722,NA,NA,NA,NA,NA,531.559999998672,585.300000000461,635.799999998881,723.039999999764,806.460000000334,NA,NA,NA,NA,NA,351.600000000531,414.759999999387,586.000000000013,706.200000000308,947.580000000153,NA,NA,NA,NA,NA,1,1,0.966666666666667
"2",2,2,"24","UgOngoing","5","1","1","1","1","4","1","1","1","1","1","1","6","2","1","2","2","5","6","3","4","6","1","4","1","1","2","2","3","1","2","1","1","5","5","6","4","7","5","3",6,6,609.82,704.74,798.5,1024.02,1331.94,NA,NA,NA,NA,NA,582.54,765.57,919.85,1194.8,1423.4,673.52,960.24,1197.1,1434.14,1781.42,1,0.902777777777778,329.100000000017,384.400000095366,426.900000095429,471.359999942752,547.620000267057,NA,NA,NA,NA,NA,443.180000209804,479.939999771068,522.199999809231,681.720000266932,795.080000019016,NA,NA,NA,NA,NA,399.14000005723,427.620000076297,446.999999761601,494.660000085866,658.949999952301,NA,NA,NA,NA,NA,1,0.966666666666667,1
"3",3,2,"30","Graduated","5","1","1","1","1","2","1","1","1","1","1","1","4","1","1","1","3","4","4","5","3","1","1","3","1","1","4","2","4","2","2","3","2","5","5","5","5","5","4","3",6,6,1128.06,1298.76,1584.1,2123.2,2823.68,NA,NA,NA,NA,NA,1100,1387.5,1693.2,1934.1,2442.5,1183.68,1250.27,1274.7,1493.53,3102.85,1,0.861111111111111,350.140000128704,429.249999856938,525.549999952375,632.800000000009,734.529999947586,NA,NA,NA,NA,NA,386.50999991894,577.970000171615,614.899999976103,661.150000095324,777.770000100099,482.82999989982,515.289999890285,547.74999988075,580.209999871215,612.66999986168,333.689999937951,495.79999990458,575.150000095334,641.690000081098,773.279999947602,NA,NA,NA,NA,NA,1,0.933333333333333,1
"4",4,0,"21","UgOngoing","5","4","3","2","4","4","2","2","3","5","3","1","5","2","2","1","4","4","3","4","3","3","2","2","1","1","1","1","1","2","1","1","1","3","1","3","1","4","1","1",6,7,747.3,876.5,1000.5,1170,1483.1,NA,NA,NA,NA,NA,729.7,922.1,1089.5,1254.2,1760.2,900,964,965,1181,1883,1,0.847222222222222,332.199999999943,352.399999999966,367.000000000075,383.000000000038,403.800000000047,NA,NA,NA,NA,NA,378.599999999983,400.999999999976,416.999999999916,432.999999999993,799.399999999991,NA,NA,NA,NA,NA,350.000000000017,365.999999999985,376.999999999953,399.999999999977,432.100000000014,NA,NA,NA,NA,NA,1,0.966666666666667,1
"5",5,2,"30","Graduated","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","7","7","7","5","5","4","5","3","3","3","7","7","7","5","7","5","4","7","7","7","4","7","7","4",6,6,896.22,1001.02,1100,1815.88,2969.76,NA,NA,NA,NA,NA,898.12,1135.98,1673.65,2107.16,2916.22,930.98,1313.14,2190.8,3198.98,4240.38,1,0.875,593.179999971517,865.940000021419,1232.99999999995,1419.95999997839,1779.75999997852,NA,NA,NA,NA,NA,596.780000018998,1089.91000003207,1232.84999999396,1343.3299999833,1603.05999999055,NA,NA,NA,NA,NA,529.790000021376,878.280000013183,1350.00000000002,1486.69999998215,1763.90000002368,NA,NA,NA,NA,NA,0.983333333333333,1,1
"6",6,0,"21","UgOngoing","3","3","3","3","3","3","3","3","3","3","3","3","7","7","7","5","7","7","7","7","7","7","7","7","7","6","6","6","6","6","6","6","3","6","6","6","6","6","6","6",6,4,516.92,748.41,1041.3,1463.93,1893.9,NA,NA,NA,NA,NA,563.73,923.5,1196.6,1421.33,2197.86,941.55,1091.7,1299.65,1400.05,1489.6,1,0.916666666666667,351.099999999985,475.18999999977,710.950000000196,817.48000000016,991.520000000333,448.640000000046,572.36000000014,715.399999999363,777.059999999551,853.199999999993,585.200000000214,635.300000000711,719.099999999685,749.299999999835,1071.10000000057,433.649999999489,498.750000000211,560.699999999713,601.239999999638,774.749999999807,431.04999999988,518.769999999938,543.899999999951,662.399999999798,830.779999999584,471.339999999293,535.509999999681,607.999999999976,688.26999999992,828.290000000152,0.333333333333333,0.366666666666667,0.333333333333333
"7",7,1,"24","Postg","10","6","7","1","6","6","7","4","6","1","3","1","4","4","2","1","6","6","6","4","5","6","2","1","1","4","6","3","6","2","7","6","4","7","7","7","6","7","7","5",7,5,1133.56,1295.2,1433.2,1539.94,1798.48,NA,NA,NA,NA,NA,1156.94,1384.02,1583.9,1808.54,2326.52,921.9,1197,1478.9,1862.55,2201.95,1,0.916666666666667,296.439999961876,382.81999995711,483.299999952351,582.539999938001,702.499999999986,NA,NA,NA,NA,NA,349.439999997594,399.289999985683,566.550000011915,598.460000002365,784.68999999763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983333333333333,1,1
"8",8,0,"21","UgOngoing",NA,"1","1","1","1","6","6","1","2","2","1","1","6","6","4","3","6","6","5","6","6","6","4","4","5","6","2","5","6","1","4","4","2","6","7","7","7","7","7","5",6,7,831.28,1010.74,1175,1555.89,2272.21,NA,NA,NA,NA,NA,786.21,1056.45,1207.45,1488.19,1983.11,1076.82,1186.2,1246.5,1899.52,2194.28,1,0.875,594.290000011017,1042.96999999885,1298.85000000888,1416.06000000093,1637.60000000294,NA,NA,NA,NA,NA,781.569999997373,1150.28999999612,1251.84999999408,1387.32000000329,1719.01000000685,NA,NA,NA,NA,NA,514.539999994713,1001.72000000482,1199.29999999704,1391.27999999525,1555.18000000118,NA,NA,NA,NA,NA,1,1,0.966666666666667
