"","rec","Part","Task","RT","Acc","Cond"
"128",128,1,"Posner","0.669499999999971",1,"invalid"
"129",129,1,"Posner","0.535799999998858",1,"neutral"
"130",130,1,"Posner","0.618900000000394",1,"invalid"
"131",131,1,"Posner","0.670699999999215",1,"valid"
"132",132,1,"Posner","0.36819999999932",1,"neutral"
"133",133,1,"Posner","0.351499999999987",1,"valid"
"134",134,1,"Posner","0.518699999999285",1,"valid"
"135",135,1,"Posner","0.585900000000379",1,"invalid"
"136",136,1,"Posner","1.30550000000005",1,"valid"
"137",137,1,"Posner","0.318599999999606",1,"valid"
"138",138,1,"Posner","0.754699999999275",1,"invalid"
"139",139,1,"Posner","0.60349999999994",1,"invalid"
"140",140,1,"Posner","0.619500000000016",1,"valid"
"141",141,1,"Posner","0.485000000000014",1,"valid"
"142",142,1,"Posner","0.535399999998504",1,"valid"
"143",143,1,"Posner","0.619499999999903",1,"neutral"
"144",144,1,"Posner","0.486099999999624",1,"neutral"
"145",145,1,"Posner","0.550799999998958",1,"invalid"
"146",146,1,"Posner","0.350400000000377",1,"neutral"
"147",147,1,"Posner","0.518400000000383",1,"valid"
"148",148,1,"Posner","0.349999999999909",1,"valid"
"149",149,1,"Posner","0.752800000000661",1,"valid"
"150",150,1,"Posner","0.451500000000124",1,"valid"
"151",151,1,"Posner","0.700399999998581",1,"invalid"
"152",152,1,"Posner","0.351900000000569",1,"neutral"
"153",153,1,"Posner","0.36859999999956",1,"neutral"
"154",154,1,"Posner","0.347900000000436",0,"neutral"
"155",155,1,"Posner","0.434300000000803",1,"valid"
"156",156,1,"Posner","1.1197000000011",1,"valid"
"157",157,1,"Posner","0.40369999999939",1,"valid"
"158",158,1,"Posner","0.802900000000591",1,"invalid"
"159",159,1,"Posner","0.352099999999609",1,"valid"
"160",160,1,"Posner","0.820699999999306",1,"invalid"
"161",161,1,"Posner","1.32159999999953",1,"neutral"
"162",162,1,"Posner","0.668200000001207",1,"valid"
"163",163,1,"Posner","0.567099999999527",1,"invalid"
"164",164,1,"Posner","0.4525000000001",1,"valid"
"165",165,1,"Posner","0.3837999999987",1,"valid"
"166",166,1,"Posner","0.66809999999964",1,"invalid"
"167",167,1,"Posner","0.517900000000282",1,"neutral"
"168",168,1,"Posner","0.599900000000389",1,"valid"
"169",169,1,"Posner","0.318299999998999",1,"valid"
"170",170,1,"Posner","0.651099999999587",1,"valid"
"171",171,1,"Posner","0.534899999998515",1,"invalid"
"172",172,1,"Posner","0.568099999999731",1,"invalid"
"173",173,1,"Posner","0.620199999999159",1,"neutral"
"174",174,1,"Posner","0.502100000001519",1,"valid"
"175",175,1,"Posner","0.433600000001661",1,"valid"
"176",176,1,"Posner","0.402000000000044",1,"neutral"
"177",177,1,"Posner","0.938000000000102",1,"neutral"
"178",178,1,"Posner","0.852499999999964",1,"valid"
"179",179,1,"Posner","0.703499999999849",1,"valid"
"180",180,1,"Posner","0.635799999998881",1,"invalid"
"181",181,1,"Posner","0.36770000000115",1,"valid"
"182",182,1,"Posner","0.48620000000119",1,"neutral"
